system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,SCL,date,sun_azimuth,sun_zenith,view_azimuth_mean,view_zenith_mean,.geo
20230226T103919_20230226T104451_T31UGT,0.1323,0.31420000000000003,0.21580000000000002,0.1396,0.17250000000000001,0.14120000000000002,0.2141,0.47500000000000003,0.5559000000000001,0.6357,0.5703,0.5419,4.0,2023-02-26,163.286675247972,61.8676031071627,163.497566475702,3.1207529304391,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230226T103919_20230226T104451_T31UGU,0.1293,0.30860000000000004,0.2129,0.1373,0.1704,0.13970000000000002,0.21080000000000002,0.46590000000000004,0.5447000000000001,0.6238,0.5582,0.5358,4.0,2023-02-26,163.437386522091,62.7249116831658,125.580144160659,3.78319017356918,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230226T103919_20230226T104451_T32ULC,0.12890000000000001,0.3109,0.2106,0.1436,0.1721,0.1423,0.2104,0.46480000000000005,0.5427000000000001,0.5448000000000001,0.5508000000000001,0.5719000000000001,4.0,2023-02-26,163.505370203403,61.8712382715425,181.672807963481,3.05376340312912,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230303T103931_20230303T104046_T31UGT,0.25980000000000003,0.40140000000000003,0.3124,0.2335,0.2533,0.23700000000000002,0.2968,0.47550000000000003,0.5207,0.5482,0.5374,0.525,5.0,2023-03-03,163.140426491959,59.9648114845734,163.598921405688,3.1332240882571,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230303T103931_20230303T104046_T31UGU,0.2554,0.3927,0.30760000000000004,0.23070000000000002,0.2494,0.2335,0.2907,0.4572,0.5003000000000001,0.53,0.5182,0.505,5.0,2023-03-03,163.303757893232,60.8214745755086,125.211306615244,3.76135360922503,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230303T103931_20230303T104046_T32ULC,0.2612,0.40090000000000003,0.31170000000000003,0.2368,0.2541,0.23670000000000002,0.2972,0.4592,0.5008,0.5307000000000001,0.519,0.5287000000000001,5.0,2023-03-03,163.364585634644,59.968132340504,182.843560059512,3.05911318343626,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230323T103711_20230323T103711_T31UGT,0.1322,0.28700000000000003,0.18860000000000002,0.128,0.16090000000000002,0.1264,0.2011,0.5108,0.604,0.6177,0.6137,0.5618000000000001,4.0,2023-03-23,163.012744180518,52.0063201113379,164.224798614331,3.12285363313463,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230323T103711_20230323T103711_T31UGU,0.1337,0.28390000000000004,0.1877,0.1296,0.16110000000000002,0.12760000000000002,0.2008,0.499,0.5893,0.6025,0.6011000000000001,0.5483,4.0,2023-03-23,163.23098359348,52.8625148613038,125.532316167803,3.75283730074579,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230323T103711_20230323T103711_T32ULC,0.1355,0.28250000000000003,0.191,0.1326,0.161,0.128,0.1991,0.46900000000000003,0.5563,0.5888,0.5678000000000001,0.5693,4.0,2023-03-23,163.26237630123,52.0093897197871,183.626559347324,3.060253343872,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230402T103621_20230402T104404_T31UGT,0.1361,0.2416,0.2031,0.13820000000000002,0.1562,0.1562,0.1893,0.24000000000000002,0.2506,0.2646,0.2619,0.264,5.0,2023-04-02,163.054865886857,48.0311876071792,163.904625780684,3.12564227385544,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230402T103621_20230402T104404_T31UGU,0.1379,0.23920000000000002,0.20140000000000002,0.1395,0.1567,0.1562,0.1885,0.23850000000000002,0.2485,0.263,0.26030000000000003,0.26330000000000003,5.0,2023-04-02,163.303741390622,48.8876541505481,125.507476380807,3.74409467796444,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230402T103621_20230402T104404_T32ULC,0.135,0.24580000000000002,0.2081,0.1408,0.15860000000000002,0.1584,0.19190000000000002,0.2406,0.2548,0.267,0.2616,0.265,5.0,2023-04-02,163.319342301971,48.0343659705501,183.843433500695,3.0524737645122,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230517T103629_20230517T103641_T31UGT,0.1705,0.3584,0.366,0.1922,0.19640000000000002,0.2212,0.23090000000000002,0.24760000000000001,0.2591,0.27990000000000004,0.2868,0.3225,5.0,2023-05-17,161.469921774473,33.5485161810021,165.12740813087,3.11457220379125,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230517T103629_20230517T103641_T31UGU,0.1642,0.35650000000000004,0.364,0.1885,0.1935,0.2199,0.22870000000000001,0.24280000000000002,0.2538,0.2753,0.2818,0.3184,5.0,2023-05-17,161.912053176518,34.3976952269648,126.498633362818,3.75007539142304,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230517T103629_20230517T103641_T32ULC,0.16820000000000002,0.3657,0.36970000000000003,0.1922,0.19770000000000001,0.2214,0.2321,0.2519,0.2594,0.2892,0.2911,0.32280000000000003,5.0,2023-05-17,161.810860187122,33.5483041348414,184.209761727349,3.0562822821603,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230527T103629_20230527T103641_T31UGT,0.15510000000000002,0.3488,0.3561,0.1768,0.1875,0.2071,0.2277,0.2492,0.2646,0.2771,0.2793,0.30960000000000004,5.0,2023-05-27,160.361533686983,31.6632397806526,164.448602137438,3.12111275040408,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230527T103629_20230527T103641_T31UGU,0.1521,0.34750000000000003,0.35300000000000004,0.1749,0.186,0.2063,0.22640000000000002,0.24630000000000002,0.2615,0.2746,0.2765,0.30410000000000004,5.0,2023-05-27,160.861359504114,32.5067847901174,126.381036768534,3.74496802957975,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230527T103629_20230527T103641_T32ULC,0.15430000000000002,0.3528,0.3593,0.17830000000000001,0.19060000000000002,0.2082,0.22840000000000002,0.2472,0.2652,0.28340000000000004,0.279,0.31520000000000004,5.0,2023-05-27,160.716678986155,31.6606139811392,183.865275674718,3.05884820827951,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230606T103629_20230606T103638_T31UGT,0.1569,0.3441,0.3471,0.1768,0.1874,0.2021,0.22210000000000002,0.2515,0.2664,0.2803,0.28390000000000004,0.29810000000000003,5.0,2023-06-06,159.096740431179,30.424456702929,164.47386415723,3.11998316949066,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230606T103629_20230606T103638_T31UGU,0.1558,0.342,0.3451,0.17600000000000002,0.18660000000000002,0.20120000000000002,0.2212,0.24980000000000002,0.26530000000000004,0.2792,0.2823,0.29710000000000003,5.0,2023-06-06,159.651330836173,31.261181891607,126.297608276776,3.75514821809889,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230606T103629_20230606T103638_T32ULC,0.15560000000000002,0.3425,0.3415,0.1764,0.18730000000000002,0.1993,0.221,0.25520000000000004,0.2682,0.2797,0.28550000000000003,0.2983,5.0,2023-06-06,159.461959196854,30.4190711945146,183.479791687355,3.05743367188717,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230611T103631_20230611T103626_T31UGT,0.1589,0.3423,0.32080000000000003,0.1673,0.1811,0.19,0.2164,0.2621,0.2811,0.2909,0.2995,0.3131,5.0,2023-06-11,158.456135431767,30.0589504667839,164.501885787694,3.12308574000375,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230611T103631_20230611T103626_T31UGU,0.1559,0.3412,0.31980000000000003,0.16490000000000002,0.17930000000000001,0.18860000000000002,0.2152,0.26,0.2785,0.2888,0.29710000000000003,0.31120000000000003,5.0,2023-06-11,159.034218998008,30.8920699775848,125.604265030778,3.74786198736399,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230611T103631_20230611T103626_T32ULC,0.15660000000000002,0.3381,0.3174,0.1656,0.1804,0.18630000000000002,0.21450000000000002,0.2637,0.2861,0.28900000000000003,0.3042,0.3138,5.0,2023-06-11,158.824395195901,30.0521663075249,183.848318745921,3.05335626163934,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230616T103629_20230616T103659_T31UGT,0.1434,0.32220000000000004,0.2921,0.159,0.1721,0.17400000000000002,0.1968,0.2681,0.3062,0.3131,0.3158,0.3435,4.0,2023-06-16,157.860090697557,29.8634831191195,163.722403367626,3.13084163903743,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
20230616T103629_20230616T103659_T31UGU,0.14250000000000002,0.32030000000000003,0.2908,0.15810000000000002,0.1714,0.17320000000000002,0.196,0.2669,0.304,0.3113,0.31370000000000003,0.34240000000000004,4.0,2023-06-16,158.457321848447,30.6931296862817,125.822921135685,3.76252659467754,"{""type"":""Point"",""coordinates"":[6.8616,52.23420000000001]}"
